學校,系所,計畫類別,系所招生對象,招生名額,考試項目,日程公告,聯絡資訊,相關連結,備註,區域公私立,學校名稱,地區,City,考試方式簡記,Search_Tags
"【北區、國立】
國立臺灣大學",大氣科學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/09 ~ 2025/12/09
【放榜日期】2025/12/24","聯絡人：林明昌
聯絡電話：(02)33663923",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Physics, Atmosphere, Earth Science, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",化學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",7,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/13 ~ 2025/12/13
【放榜日期】2025/12/24","聯絡人：許慧楨
聯絡電話：(02)33661143",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Chemistry, Chem, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",生化科技學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",2,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系書面資料審查，且成績排名前6名者，得以參加口試。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/06 ~ 2025/12/06
【放榜日期】2025/12/24","聯絡人：林雅玲
聯絡電話：(02)33664456",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Chemistry, Chem, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",生命科學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",8,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/13 ~ 2025/12/13
【放榜日期】2025/12/24","聯絡人：黃雅倫
聯絡電話：(02)33662495",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),"【備註】1.詳細日程請以簡章公告為主。
2.本項招生考生入學就讀後，不得僅以雙主修之加修學系資格畢業。",北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Biology, Bio, Life Science, Agriculture, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",生物環境系統工程學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",2,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/04 ~ 2025/12/04
【放榜日期】2025/12/24","聯絡人：廖泓韻
聯絡電話：(02)33663444",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Biology, Bio, Life Science, Agriculture, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",地理環境資源學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/11 ~ 2025/12/11
【放榜日期】2025/12/24","聯絡人：彭云
聯絡電話：(02)33665821",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",地質科學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",3,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/06 ~ 2025/12/06
【放榜日期】2025/12/24","聯絡人：廖子文
聯絡電話：(02)33669475",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",昆蟲學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",2,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/05 ~ 2025/12/05
【放榜日期】2025/12/24","聯絡人：何曉嬋
聯絡電話：(02)33665582",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",物理學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",5,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/14 ~ 2025/12/14
【放榜日期】2025/12/24","聯絡人：胡靚
聯絡電話：(02)33665123",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Physics, Atmosphere, Earth Science, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
"【北區、國立】
國立臺灣大學",社會學系,特殊選才,"特殊才能
不同教育資歷：
1.實驗教育學生",1,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)","【簡章公告】2025/10/1 
【報名日期】2025/11/12 ~ 2025/11/21
【考試日期】2025/12/11 ~ 2025/12/11
【放榜日期】2025/12/24","聯絡人：黃瑜焄
聯絡電話：(02)33661217",簡章網址 ( https://reg.aca.ntu.edu.tw/mars/ ),【備註】詳細日程請以簡章公告為主。,北區、國立,國立臺灣大學,台北,Taipei,審查 Document Review / 口試 Interview,"Taipei, 台北, NTU, National Taiwan University, Social Sciences, Psychology, Communication, History, Philosophy, Document Review, Portfolio, Interview, Oral Test, Experimental Education, Homeschooling, Self-taught, Special Talent, Contest Winner, Competition"
